Name_of_Satellite, Alternate_Names	Current_Official_Name_of_Satellite	Country_of_OperatorOwner	OperatorOwner	Users	Purpose	Detailed_Purpose	Class_of_Orbit	Longitude_GEO	Perigee	Apogee	Eccentricity	Inclination	Period	Launch_Mass	Date_of_Launch	Expected_Lifetime	Contractor	Country_of_Contractor	Launch_Site	Launch_Vehicle	Comments
ANASIS-II (Army, Navy Air Force Satellite Information System 2, KMilSatCom 1)	ANASIS-II	South Korea	Agency for Defense Development	Military	Communications		GEO	115.9	35781	35792	1.3046623889554398E-4	0.01	1436.1		2020-07-19T22:00:00Z	15	Airbus Defense and Space	France/UK/Germany/Spain	Cape Canaveral	Falcon 9	First South Korean military satellite.
ANDESITE Mule (Ad-Hoc Network Demonstration for Extended Satellite-Based Inquiry and Other Team Endeavors)	ANDESITE Mule	USA	ANDESITE - Boston University	Civil	Space Science/Technology Demonstration		LEO	0	582	600	0.00129291768424077	97.7	96.5	9	2020-06-12T22:00:00Z		Boston University	USA	Rocket Lab Launch Complex 1	Electron	Mule carries 8 sensor plates that will be released and gather data for a 3-dimensional view of plasma currents. Each about size of piece of bread - each has magnetometer and radio transmitter.
ANGELS (Argos Neo on a Generic Economical and Light Satellite)	ANGELS	ESA	Centre National d'Etudes Spatiales (CNES)	Government	Communications		LEO	0	509	524	0.0010890873448050533	97.4	94.9	18	2019-12-17T23:00:00Z		CNES	ESA	Guiana Space Center	Soyuz	Miniaturized Argos Neo instrument ten times smaller than the equivalent previous-generation device. The instrument collects and locates low-power signals and messages sent by the 20,000 Argos transmitters operating around the globe.
Angosat-2	Angosat-2	Angola	AngoSat	Government	Communications		LEO	23	35782	35791	1.0674510455089963E-4	0.02		2150	2022-10-11T22:00:00Z		ISS Reshetnev	Russia	Baikonur Cosmodrome	Proton	Replaces Angosat 1.
Anik F1	Anik F1	Canada	Telesat Canada Ltd. (BCE, Inc.)	Commercial	Communications		GEO	-107.27	35778	35793	1.7791272787655228E-4	0.02	1436.08	4710	2000-11-20T23:00:00Z	15	Boeing Satellite Systems	USA	Guiana Space Center	Ariane 44L	
Anik F1R	Anik F1R	Canada	Telesat Canada Ltd. (BCE, Inc.)	Commercial	Communications		GEO	-107.3	35777	35795	2.134927412467976E-4	0.02	1436.1	4500	2005-09-08T22:00:00Z	15	EADS Astrium	France/UK/Germany/Spain	Baikonur Cosmodrome	Proton M	
Anik F2	Anik F2	Canada	Telesat Canada Ltd. (BCE, Inc.)	Commercial	Communications		GEO	-111.07	35781	35790	1.0674763672593138E-4	0.01	1436.08	5910	2004-07-17T22:00:00Z	15	Boeing Satellite Systems	USA	Guiana Space Center	Ariane 5	24 30W C-band, 40 127W Ku-band, 50 90W transponders for broadband and telemedicine to northern US states and Canada
Anik F3	Anik F3	Canada	Telesat Canada Ltd. (BCE, Inc.)	Commercial	Communications		GEO	-118.69	35778	35794	1.89771325552709E-4	0.01	1436.1	4715	2007-04-08T22:00:00Z	15	EADS Astrium	France/UK/Germany/Spain	Baikonur Cosmodrome	Proton M	32 Ku-band, 24 C-band and 2 Ka-band transponders; voice and video throughout North America.
Anik G1	Anik G1	Canada	Telesat Canada Ltd. (BCE, Inc.)	Commercial	Communications		GEO	-107.3	35773	35799	3.083784040231521E-4	0.01	1436.08	4905	2013-04-14T22:00:00Z	15	Space Systems/Loral	USA	Baikonur Cosmodrome	Proton M	16 extended Ku-band transponders fully contracted to Shaw Direct for 15 years.
AprizeSat 1 (LatinSat-C)	AprizeSat 1	Argentina	Aprize Satellite, Argentina	Commercial	Communications/Technology Development		LEO	0	696	764	0.004788732394366197	98	99.4	12	2004-06-28T22:00:00Z		Aprize Satellite	Argentina	Baikonur Cosmodrome	Dnepr	Messaging services.
AprizeSat 10 (exactView-13)	AprizeSat 10	USA/Argentina	Aprize Satellite, Argentina	Commercial	Communications/Maritime Tracking	Automatic Identification System (AIS)	LEO	0	613	733	0.008519096975720574	97.9	98	12	2014-06-18T22:00:00Z		SpaceQuest	USA	Dombarovsky Air Base	Dnepr	Will provide tracking and data monitoring services for companies with remote or mobile assets.
AprizeSat 2 (LatinSat-D)	AprizeSat 2	USA/Argentina	Aprize Satellite, Argentina	Commercial	Communications/Technology Development		LEO	0	694	850	0.010921310557266872	98.2	100.3	12	2004-06-28T22:00:00Z		Aprize Satellite	Argentina	Baikonur Cosmodrome	Dnepr	Messaging services.
AprizeSat 3	AprizeSat 3	USA/Argentina	Aprize Satellite, Argentina	Commercial	Communications/Maritime Tracking	Automatic Identification System (AIS)	LEO	0	559	662	0.007377695007520951	98.18	97	12	2009-07-28T22:00:00Z		SpaceQuest	USA	Baikonur Cosmodrome	Dnepr	Will provide tracking and data monitoring services for companies with remote or mobile assets.
AprizeSat 4	AprizeSat 4	USA/Argentina	Aprize Satellite, Argentina	Commercial	Communications/Maritime Tracking	Automatic Identification System (AIS)	LEO	0	604	674	0.0049935796832643745	98.1	97.5	12	2009-07-28T22:00:00Z		SpaceQuest	USA	Baikonur Cosmodrome	Dnepr	Will provide tracking and data monitoring services for companies with remote or mobile assets.
AprizeSat 5	AprizeSat 5	Canada	Aprize Satellite, Argentina	Commercial	Communications	Automatic Identification System (AIS)	LEO	0	610	694	0.005981201936770151	98.2	97.8	12	2011-08-16T22:00:00Z		SpaceQuest	USA	Dombarovsky Air Base	Dnepr	Continuation of constellation.
AprizeSat 7	AprizeSat 7	Canada	Aprize Satellite, Argentina	Commercial	Communications	Automatic Identification System (AIS)	LEO	0	594	653	0.004218202616715521	97.8	97.17	12	2013-11-20T23:00:00Z		SpaceQuest	USA	Dombarovsky Air Base	Dnepr	Continuation of constellation.
AprizeSat 8 (exactView-12)	AprizeSat 8	USA/Argentina	Aprize Satellite, Argentina	Commercial	Communications/Maritime Tracking	Automatic Identification System (AIS)	LEO	0	594	669	0.005355995143897736	97.8	97.99	12	2013-11-20T23:00:00Z		SpaceQuest	USA	Dombarovsky Air Base	Dnepr	Continuation of constellation.
AprizeSat 9 (exactView-11)	AprizeSat 9	USA	Aprize Satellite, Argentina	Commercial	Communications/Maritime Tracking	Automatic Identification System (AIS)	LEO	0	613	715	0.0072504975831674725	97.9	98	12	2014-06-18T22:00:00Z		SpaceQuest	USA	Dombarovsky Air Base	Dnepr	Will provide tracking and data monitoring services for companies with remote or mobile assets.
Apstar 6C	Apstar 6C	China	APT Satellite Holdings Ltd.	Commercial	Communications		GEO	134	35783	35790	8.302397020625527E-5	0.05	1436.1		2018-05-02T22:00:00Z	15	China Academy of Space Technology (CAST)	China	Xichang Satellite Launch Center	Long March 3B	45 C-band, Ku-band and Ka-band transponders, Apstar 6C's wider coverage zone will stretch from Siberia and India in the north and west, to Australia and Hawaii in the south and east.
Apstar 6D	Apstar 6D	China	APT Satellite Holdings Ltd.	Commercial	Communications		GEO	134	35785	35885	0.0011846937566639024	0.01	1438.5	5550	2020-07-08T22:00:00Z	15	China Academy of Space Technology (CAST)	China	Xichang Satellite Launch Center	Long March 3B	Will use a conventional liquid-fueled engine to raise its orbit in the coming weeks, then rely on electric plasma thrusters to hold position in geostationary orbit during its planned 15-year mission.
Apstar 6E	Apstar 6E	China	APT Satellite Holdings Ltd.	Commercial	Communications		GEO	134	35700	35700	0	0	1436	4300	2023-01-11T23:00:00Z	15	China Academy of Space Technology (CAST)	China	Xichang Satellite Launch Center	Long March 3B	
Apstar 7	Apstar 7	China	APT Satellite Holdings Ltd.	Commercial	Communications		GEO	76.5	35864	35874	1.1837401453632898E-4	0.03	1440.31	5054	2012-03-30T22:00:00Z	15	Thales Alenia Space	France/Italy	Xichang Satellite Launch Center	Long March 3B	Replacement for Apstar 2R.
Apstar 9	Apstar 9	China	APT Satellite Holdings Ltd.	Commercial	Communications		GEO	142	35782	35788	7.116593523899893E-5	0.12	1436.01	5200	2015-10-15T22:00:00Z	15	China Academy of Space Technology (CAST)	China	Xichang Satellite Launch Center	Long March 3B	Replacement for Apstar 9A.
Arabsat 5C	Arabsat 5C	Multinational	Arab Satellite Communications Org. (ASCO)	Government	Communications		GEO	19.99	35766	35805	4.6257309247903596E-4	0.06	1436.06	4630	2011-09-20T22:00:00Z	15	Astrium/Thales Alenia Space	France	Guiana Space Center	Ariane 5 ECA	26 active C-band transponders, 12 active Ka-band transponders
Arabsat 6A	Arabsat 6A	Multinational	Arab Satellite Communications Org. (ASCO)	Commercial	Communications		GEO	30.5	35774	35811	4.38778535428402E-4	0.01	1436	6465	2019-04-10T22:00:00Z	15	Lockheed Martin	USA	Cape Canaveral	Falcon Heavy	
ARCE 1A (Articulated Reconnaissance and Communications Expedition-1)	ARCE 1A	USA	University of South Florida, Institute of Applied Engineering (IAE).	Civil	Technology Development		LEO	0	526	535	6.521266574885878E-4	97.5	95.2	1	2021-01-23T23:00:00Z		South Florida University, Institute of Applied Engineering (IAE)	USA	Cape Canaveral	Falcon 9/Sherpa FX	
ARCE 1B (Articulated Reconnaissance and Communications Expedition-1)	ARCE 1B	USA	University of South Florida, Institute of Applied Engineering (IAE).	Civil	Technology Development		LEO	0	522	536	0.0010146398028699811	97.5	95.2	1	2021-01-23T23:00:00Z		South Florida University, Institute of Applied Engineering (IAE)	USA	Cape Canaveral	Falcon 9/Sherpa FX	
ARCE 1C (Articulated Reconnaissance and Communications Expedition-1)	ARCE 1C	USA	University of South Florida, Institute of Applied Engineering (IAE).	Civil	Technology Development		LEO	0	522	536	0.0010146398028699811	97.5	95.2	1	2021-01-23T23:00:00Z		South Florida University, Institute of Applied Engineering (IAE)	USA	Cape Canaveral	Falcon 9/Sherpa FX	
ARCSAT	ARCSAT	Norway	Norwegian Defence Research Establishment	Military	Technology Demonstration		LEO	0	499	510	8.000581860498945E-4	97.4	95	10	2022-03-31T22:00:00Z		Norwegian Defence Research Establishment	Norway	Cape Canaveral	Falcon 9	Demonstrate UHF tactical communications in the North Sea and the Arctic region.
ARICA	ARICA	Japan	Aoyama Gakuin University in Tokyo	Civil	Technology Development		LEO	0	547	572	0.0018038819539649325	97.6	95	1	2021-11-07T23:00:00Z		Aoyama Gakuin University in Tokyo	Japan	Uchinoura Space Center	H2A	Will attempt to detect transient astronomical events like gamma-ray bursts and transmit the data to the ground via a commercial communications satellite network.
Arktika-M1	Arktika-M1	Russia	Naval Physical and Oceanographic Laboratory	Government	Earth Observation	Meteorology	Elliptical	0	1025	39754	0.7236495450213942	63.3	717.8	2200	2021-02-27T23:00:00Z	7	NPO Lavochkin	Russia	Baikonur Cosmodrome	Soyuz-2.1b	Monitoring of environmental conditions, and also provide reliable communications and navigation across this inhospitable region.
Arkyd-6A	Arkyd-6A	USA	Planetary Resources	Commercial	Technology Development		LEO	0	493	505	8.734895909157083E-4	97.5	94.5	10	2018-01-10T23:00:00Z		Planetary Resources	USA	Satish Dhawan Space Centre	PSLV	
ArSat 1	ArSat 1	Argentina	ArSat	Commercial	Communications		GEO	-71.8	35778	35795	2.0162964192947707E-4	0.01	1436.07	3000	2014-10-15T22:00:00Z	15	INVAP S.E.	Argentina	Guiana Space Center	Ariane 5 ECA	First geostationary communications satellite built in Argentina. It will support television broadcasts, data transmission and Internet access for customers in Argentina, Chile, Uruguay and Paraguay.
ArSat 2	ArSat 2	Argentina	ArSat	Commercial	Communications		GEO	-81	35786	35801	1.7787897114803088E-4	0.01	1436.06	2977	2015-09-29T22:00:00Z	15	INVAP S.E.	Argentina	Guiana Space Center	Ariane 5 ECA	
Arthur	Arthur	Belgium	Aerospacelab	Commercial	Earth Observation	Optical Imaging	LEO	0	512	535	0.0016682381954014652	97.5	95.1	20	2021-06-29T22:00:00Z		Astrospacelab	Belgium	Cape Canaveral	Falcon 9	https://www.nanosats.eu/sat/rrf1-arthur
ASELSAT	ASELSAT	Turkey	Istanbul Technical University	Civil	Earth Observation	Optical Imaging	LEO	0	522	536	0.0010146398028699811	97.5	95.2	5	2021-01-23T23:00:00Z		Istanbul Technical University	Turkey	Cape Canaveral	Falcon 9	Take images and transmit it to a ground station via X-band transmitter.
AsiaSat-5	AsiaSat-5	China	Asia Satellite Telecommunications Co. Ltd.	Commercial	Communications		GEO	100.5	35778	35795	2.0162964192947707E-4	0	1436.11	3760	2009-08-10T22:00:00Z	15	Space Systems/Loral	USA	Baikonur Cosmodrome	Breeze M	14 Ku-Band, 26 C-band, serving all of Asia.
AsiaSat-6 (Thaicom-7)	AsiaSat-6	China	Asia Satellite Telecommunications Co. Ltd.	Commercial	Communications		GEO	120	35783	35793	1.1860145168176859E-4	0.07	1436.17	3700	2014-09-06T22:00:00Z	15	Space Systems/Loral	USA	Cape Canaveral	Falcon 9	14 of the 28 C-band transponders will be operated by Thaicom as Thaicom 7.
AsiaSat-7	AsiaSat-7	China	Asia Satellite Telecommunications Co. Ltd.	Commercial	Communications		GEO	105.5	35782	35793	1.304631441617743E-4	0.02	1436.17	3813	2011-11-24T23:00:00Z	15	Space Systems/Loral	USA	Baikonur Cosmodrome	Proton M	28 C-band, 17 Ku-band, and a Ka-band payload. Will replace AsiaSat-3S.
AsiaSat-8	AsiaSat-8	China	Asia Satellite Telecommunications Co. Ltd.	Commercial	Communications		GEO	105.5	35781	35793	1.4232511801124368E-4	0.07	1436.1	4500	2014-08-04T22:00:00Z	15	Space Systems/Loral	USA	Cape Canaveral	Falcon 9	24 Ku-band transponders.
AsiaSat-9	AsiaSat-9	China	Asia Satellite Telecommunications Co. Ltd.	Commercial	Communications		GEO	122	35783	35790	8.302397020625527E-5	0.02	1436.1	6140	2017-09-27T22:00:00Z	15	Space Systems/Loral	USA	Baikonur Cosmodrome	Proton	38 Ku-band, 28 C-band transponders.
AsiaStar	AsiaStar	USA	1Worldspace	Commercial	Communications		GEO	104.97	35773	35801	3.3209194202623525E-4	0.02	1436.15	2775	2000-03-20T23:00:00Z	15	Alcatel Space Industries	France	Guiana Space Center	Ariane 5G	Africa, Middle East, Asia, Latin America and Caribbean. Services to underserved emerging markets; low-cost portable receivers.
ASNARO 1 (Advanced Satellite with New system Architecture for Observation)	ASNARO-1	Japan	Japan Space Systems	Government	Earth Observation	Optical Imaging	LEO	0	506	507	7.271140841998109E-5	97.48	94.75	500	2014-11-05T23:00:00Z	3	NEC Corporation	Japan	Dombarovsky Air Base	Dnepr	Japanese optical high-resolution Earth imaging mission under development by the NEC Corporation and USEF (Institute for Unmanned Space Experiment Free Flyer).
ASNARO 2 (Advanced Satellite with New system Architecture for Observation)	ASNARO-2	Japan	Japan Space Systems	Government	Earth Observation	Radar Imaging	LEO	0	493	505	8.734895909157083E-4	97.3	94.5	570	2018-01-16T23:00:00Z	3	NEC Corporation	Japan	Uchinoura Space Center	Epsilon	X-band radar.
ASTERISC (Asutarisuku)	ASTERISC	Japan	Chiba Institute of Technology	Civil	Technology Development		LEO	0	556	573	0.0012257552815631986	97.6	94.5	4	2021-11-07T23:00:00Z		Chiba Institute of Technology	Japan	Uchinoura Space Center	H2A	Will unfurl a membrane-like structure to evaluate dust particles in orbit.
Astra 1G	Astra 1G	Luxembourg	SES S.A.	Commercial	Communications		GEO	19.24	35780	35791	1.3046933377613835E-4	0.04	1436.08	3379	1997-12-01T23:00:00Z	15	Hughes Space and Communications Co.	USA	Baikonur Cosmodrome	Proton K	Direct-to-home tv; multimedia; 32 Ku-band transponders; Europe
Astra 1KR	Astra 1KR	Luxembourg	SES S.A.	Commercial	Communications		GEO	19.16	35766	35807	4.862832540652094E-4	0.08	1436.1	4332	2006-04-19T22:00:00Z	15	Lockheed Martin Commercial Space Systems	USA	Cape Canaveral	Atlas 5	32 Ku-band transponders; direct-to-home broadcast services across Europe.
Astra 1L	Astra 1L	Luxembourg	SES S.A.	Commercial	Communications		GEO	19.3	35772	35798	3.0838571936899536E-4	0.05	1436.03	4500	2007-05-03T22:00:00Z	15	Lockheed Martin Commercial Space Systems	USA	Guiana Space Center	Ariane 5 ECA	29 Ku-band, 2 Ka-band transponders first five years; 25 Ku-band and 2 Ka-band thereafter.
Astra 1M	Astra 1M	Luxembourg	SES S.A.	Commercial	Communications		GEO	19.2	35804	35852	5.687473339968719E-4	0.14	1438.2	5345	2008-11-04T23:00:00Z	15	EADS Astrium	France	Baikonur Cosmodrome	Proton M	Direct-to-home and HD television.
Astra 1N	Astra 1N	Luxembourg	SES S.A.	Commercial	Communications		GEO	28.2	35715	35780	7.71650739003977E-4	0.12	1434.1	5350	2011-08-05T22:00:00Z	15	EADS Astrium	France	Guiana Space Center	Ariane 5 ECA	Direct-to-home and HD television.
Astra 2A	Astra 2A	Luxembourg	SES S.A.	Commercial	Communications		GEO	28.16	35776	35797	2.490719106187658E-4	0.08	1436.12	3635	1998-08-29T22:00:00Z	15	Hughes Space and Communications Co.	USA	Baikonur Cosmodrome	Proton K	Voice and video communications to Europe; 32 Ku-band for first five years, 28 after.
Astra 2C	Astra 2C	Luxembourg	SES S.A.	Commercial	Communications		GEO	28.21	35768	35804	4.269854824935952E-4	0.07	1436.12	3643	2001-06-15T22:00:00Z	15	Boeing Satellite Systems	USA	Baikonur Cosmodrome	Proton K	Direct-to-home; broadcasting, multimedia; 32 transponders for first five years; 28 after, continental Europe
Astra 2D	Astra 2D	Luxembourg	SES S.A.	Commercial	Communications		GEO	28.14	35770	35802	3.79542651105418E-4	0.07	1436.1	1420	2000-12-18T23:00:00Z	15	Hughes Space and Communications Co.	USA	Guiana Space Center	Ariane 5G	Direct-to-home; broadcasting, multimedia; 16 Ku-band; UK and Ireland.
Astra 2E (Eutelsat 28E)	Astra 2E	Luxembourg	SES S.A.	Commercial	Communications		GEO	28.2	35781	35793	1.4232511801124368E-4	0.11	1436.12	6052	2013-09-28T22:00:00Z	15	EADS Astrium	France	Baikonur Cosmodrome	Proton M	Broadcast, Vsat and broadband services to Europe.
Astra 2F (Eutelsat 28F)	Astra 2F	Luxembourg	SES S.A.	Commercial	Communications		GEO	28.2	35777	35795	2.134927412467976E-4	0.06	1436.07	6000	2012-09-27T22:00:00Z	15	EADS Astrium	France/UK/Germany	Guiana Space Center	Ariane 5 ECA	Prime position for SES - BBC, ITV, Channel 5.
Astra 2G (Eutelsat 28G)	Astra 2G	Luxembourg	SES S.A.	Commercial	Communications		GEO	28.2	35785	35789	4.74417060037479E-5	0.09	1436.11	6000	2014-12-26T23:00:00Z	15	Airbus Defense and Space	Germany/France	Baikonur Cosmodrome	Proton M	62 Ku-band transponders as well as 4 Ka-band transponders
Astra 3A	Astra 3A	Luxembourg	SES S.A.	Commercial	Communications		GEO	23.48	35770	35804	4.032545010318571E-4	0.06	1436.07	1500	2002-03-28T23:00:00Z	10	Boeing Satellite Systems	USA	Guiana Space Center	Ariane 44L	20 transponders; provide follow-on capacity for the Kopernikus satellite of Deutsche Telekom AG, contracted for 10 transponders on spacecraft; German-speaking countries of Germany, Austria and Switzerland.
Astra 3B	Astra 3B	Luxembourg	SES S.A.	Commercial	Communications		GEO	23.5	35768	35806	4.50696207035605E-4	0.08	1436.11	5471	2010-05-20T22:00:00Z	15	EADS Astrium	France/UK/Germany/Spain	Guiana Space Center	Ariane 5 ECA	60 Ku-band, 4 Ka-band transponders. Serves German, Czech, Slovak market.
Astra 5B	Astra 5B	Luxembourg	SES S.A.	Commercial	Communications		GEO	31.55	35787	35793	7.115749525616698E-5	0.05	1436.26	5724	2014-03-21T23:00:00Z	15	EADS Astrium	France	Guiana Space Center	Ariane 5 ECA	Comsat to cover Eastern Europe with Direct to Home and cable feeds to digital television networks. It also carries a hosted L-band payload for the European Commission's European Geostationary Navigation Overlay Service (EGNOS).
Astranis Demosat-2	Astranis Demosat-2	USA	Astranis	Commercial	Technology Development		LEO	0	494	505	8.006405124099279E-4	97.5	94.5		2018-01-10T23:00:00Z		Astranis	USA	Satish Dhawan Space Centre	PSLV	Pathfinder for Astranis' small GEO satellites.
Astrocast-0101	Astrocast-0101	Switzerland	Astrocast	Commercial	Communications		LEO	0	521	534	9.423704240666908E-4	97.5	94.6	4	2021-01-23T23:00:00Z		Astrocast	Switzerland	Cape Canaveral	Falcon 9/Sherpa FX	
Astrocast-0102	Astrocast-0102	Switzerland	Astrocast	Commercial	Communications		LEO	0	523	535	8.69691259602841E-4	97.5	94.6	4	2021-01-23T23:00:00Z		Astrocast	Switzerland	Cape Canaveral	Falcon 9/Sherpa FX	
Astrocast-0103	Astrocast-0103	Switzerland	Astrocast	Commercial	Communications		LEO	0	522	536	0.0010146398028699811	97.5	94.6	4	2021-01-23T23:00:00Z		Astrocast	Switzerland	Cape Canaveral	Falcon 9/Sherpa FX	
Astrocast-0104	Astrocast-0104	Switzerland	Astrocast	Commercial	Communications		LEO	0	524	537	9.419607274835156E-4	97.5	94.5	4	2021-01-23T23:00:00Z		Astrocast	Switzerland	Cape Canaveral	Falcon 9/Sherpa FX	
Astrocast-0105	Astrocast-0105	Switzerland	Astrocast	Commercial	Communications		LEO	0	526	535	6.521266574885878E-4	97.5	94.5	4	2021-01-23T23:00:00Z		Astrocast	Switzerland	Cape Canaveral	Falcon 9/Sherpa FX	
Astrocast-0201	Astrocast-0201	Switzerland	Astrocast	Commercial	Communications		LEO	0	512	535	0.0016682381954014652	97.5	95.1	4	2021-06-29T22:00:00Z		Astrocast	Swizerland	Cape Canaveral	Falcon 9	
Astrocast-0202	Astrocast-0202	Switzerland	Astrocast	Commercial	Communications		LEO	0	511	536	0.0018133023863059403	97.5	95	4	2021-06-29T22:00:00Z		Astrocast	Switzerland	Cape Canaveral	Falcon 9	
Astrocast-0203	Astrocast-0203	Switzerland	Astrocast	Commercial	Communications		LEO	0	511	536	0.0018133023863059403	97.5	95	4	2021-06-29T22:00:00Z		Astrocast	Switzerland	Cape Canaveral	Falcon 9	
Astrocast-0204	Astrocast-0204	Switzerland	Astrocast	Commercial	Communications		LEO	0	513	536	0.0016679962288780913	97.5	95.1	4	2021-06-29T22:00:00Z		Astrocast	Switzerland	Cape Canaveral	Falcon 9	
Astrocast-0205	Astrocast-0205	Switzerland	Astrocast	Commercial	Communications		LEO	0	513	535	0.0015955903684363214	97.5	95	4	2021-06-29T22:00:00Z		Astrocast	Switzerland	Cape Canaveral	Falcon 9	
Astrosat	Astrosat	India	Telemetry Tracking and Command Network (ISTRAC) Centre	Government	Space Science		LEO	0	632	649	0.0012124670137650666	5.99	97.54	230	2015-09-27T22:00:00Z	5	Indian Space Research Organization (ISRO)	India	Satish Dhawan Space Centre	PSLV C-30	India's first space observatory.
AT&T T16	AT&T T16	USA	DirecTV, Inc.	Commercial	Communications		GEO	-101	35653	36757	0.012965355255431592	0.02	1436.07	6350	2019-06-19T22:00:00Z	15	Airbus Defense and Space	France	Guiana Space Center	Ariane 5	DirecTV was bought out by AT&T in 2015. They intend to eliminate the DirecTV brand in the near future.
Athena	Athena	USA	PointView Tech	Commercial	Communications		LEO	0	516	524	5.805515239477503E-4	97.4	94.5	138	2020-09-01T22:00:00Z		Maxar Technologies	USA	Guiana Space Center	Vega	PointView's (subsidiary of Facebook) first satellite; will test technologies that could be used in a future constellation of small satellites to provide global broadband Internet services.
Athena-Fidus  (Access on THeatres for European Nations Allied forces - French Italian Dual Use Satellite)	Athena-Fidus	France/Italy	Centre National d'Etudes Spatiales (CNES)/Agenzia Spaziale Italiana (ASI)	Government/Military	Communications		GEO	25	35784	35788	4.744283138817725E-5	0.05	1436.06	3080	2014-02-05T23:00:00Z	15	Thales Alenia Space	France	Guiana Space Center	Ariane 5 ECA	Carries 2 payloads, one each for France and Italy. Operates in the Ka and EHF bands.
Athenoxat-1 (Athene Noctua Experimental Satellite)	Athenoxat-1	Singapore	Microspace Rapid Pvt Ltd.	Commercial	Technology Development		LEO	0	532	550	0.0013022717407032266	14.98	95.46	6	2015-12-15T23:00:00Z		Microspace Rapid Pvt Ltd.	Singapore	Satish Dhawan Space Centre	PSLV-C29	Technology demonstrator nanosatellite for Earth remote sensing.
